No.;Prodi;Nama;kode
1;D-III Akuntansi;Akuntansi Biaya I;AKBI I
1;D-III Akuntansi;Akuntansi Keuangan Menengah I;AKM I
1;D-III Akuntansi;Akuntansi Pemerintah I;AkPem I
1;D-III Akuntansi;Ekonomi Makro;Eko.Makro
1;D-III Akuntansi;Perpajakan I;Perpajakan I
1;D-III Akuntansi;Praktik Akuntansi Keuangan Menengah I;P AKM I
1;D-III Akuntansi;Akuntansi Keuangan Lanjutan I;AKL I
1;D-III Akuntansi;Analisis Laporan Keuangan;ALK
1;D-III Akuntansi;Audit Keuangan Sektor Komersial;AKSK
1;D-III Akuntansi;Bahasa Indonesia;B.Indo
1;D-III Akuntansi;Budaya Nusantara dan Pengembangan Kepribadian;Budnus PK
1;D-III Akuntansi;Sistem Informasi Akuntansi Pemerintah;SIAP
1;D-III Akuntansi;Statistika Terapan;Statistika Tr
2;D-III Akuntansi Alih Program;Ekonomi Mikro;Eko.Mikro
2;D-III Akuntansi Alih Program;Hukum Perdata;Hk Perdata
2;D-III Akuntansi Alih Program;Pengantar Akuntansi I;PengAkun I
2;D-III Akuntansi Alih Program;Praktik Pengantar Akuntansi I;P Peng Akun I
2;D-III Akuntansi Alih Program;Pengantar Pengelolaan Keuangan Negara;Peng PKN
2;D-III Akuntansi Alih Program;Manajemen;Manajemen
2;D-III Akuntansi Alih Program;Perpajakan I;Perpajakan I
2;D-III Akuntansi Alih Program;Etika dan Anti Korupsi;Etika
2;D-III Akuntansi Alih Program;Akuntansi Biaya II;AKBI II
2;D-III Akuntansi Alih Program;Akuntansi Keuangan Menengah I;AKM I
2;D-III Akuntansi Alih Program;Akuntansi Pemerintah II;AkPem II
2;D-III Akuntansi Alih Program;Hukum Keuangan Negara;HKN
2;D-III Akuntansi Alih Program;Keuangan Publik;Keu Publik
2;D-III Akuntansi Alih Program;Praktik Akuntansi Keuangan Menengah I;P AKM I
2;D-III Akuntansi Alih Program;Sistem Informasi Akuntansi;SIA
2;D-III Akuntansi Alih Program;Statistika Terapan;Statistika Tr
3;D-IV Akuntansi (reg);Akuntansi Keuangan Kontemporer;AkKeu Kontem
3;D-IV Akuntansi (reg);Audit Sektor Publik;ASP
3;D-IV Akuntansi (reg);Audit Sistem Informasi;ASI
3;D-IV Akuntansi (reg);Kepemimpinan;Kepemimpinan
3;D-IV Akuntansi (reg);Manajemen Stratejik;ManStrat
3;D-IV Akuntansi (reg);Sistem Pengendalian Manajemen;SPM
3;D-IV Akuntansi (reg);Teori Akuntansi;TA
4;D-IV Akuntansi Alih Program (Non Akt);Akuntansi Manajemen;AkMan
4;D-IV Akuntansi Alih Program (Non Akt);Perpajakan Kontemporer;Pjk Kontem
4;D-IV Akuntansi Alih Program (Non Akt);Akuntansi Keuangan Menengah I;AKM I
4;D-IV Akuntansi Alih Program (Non Akt);Manajemen Keuangan;ManKeu
4;D-IV Akuntansi Alih Program (Non Akt);Kepemimpinan;Kepemimpinan
4;D-IV Akuntansi Alih Program (Non Akt);Manajemen Stratejik;ManStrat
4;D-IV Akuntansi Alih Program (Non Akt);Sistem Informasi Akuntansi;SIA
4;D-IV Akuntansi Alih Program (Non Akt);Akuntansi Keuangan Kontemporer;AkKeu Kontem
4;D-IV Akuntansi Alih Program (Non Akt);Audit Forensik dan Investigasi;Audit FI
4;D-IV Akuntansi Alih Program (Non Akt);Audit Sektor Publik;ASP
4;D-IV Akuntansi Alih Program (Non Akt);Audit Sistem Informasi;ASI
4;D-IV Akuntansi Alih Program (Non Akt);Sistem Informasi Akuntansi Pemerintah;SIAP
4;D-IV Akuntansi Alih Program (Non Akt);Sistem Pengendalian Manajemen;SPM
4;D-IV Akuntansi Alih Program (Non Akt);Teori Akuntansi;TA
5;D-III Pajak;Agama;Agama
5;D-III Pajak;Bahasa Inggris;B.Inggris
5;D-III Pajak;Pengantar Akuntansi I;PengAkun I
5;D-III Pajak;Pengantar Ilmu Ekonomi;PIE
5;D-III Pajak;Pengantar Ilmu Hukum;PIH
5;D-III Pajak;Pengantar Pengelolaan Keuangan Negara I;Peng PKN I
5;D-III Pajak;Pancasila;Pancasila
5;D-III Pajak;Etika dan Anti Korupsi;Etika
5;D-III Pajak;Akuntansi Biaya;AKBI
5;D-III Pajak;Akuntansi Keuangan Menengah I;AKM I
5;D-III Pajak;Ketentuan Umum Perpajakan;KUP
5;D-III Pajak;Keuangan Publik;Keu Publik
5;D-III Pajak;Pajak Bumi dan Bangunan;PBB
5;D-III Pajak;Pajak Penghasilan;pph
5;D-III Pajak;Pajak Pertambahan Nilai;PPN
5;D-III Pajak;Pengantar Hukum Pajak;Peng Hk Pjk
5;D-III Pajak;Akuntansi Keuangan Lanjutan;AKL
5;D-III Pajak;Akuntansi Perpajakan;AkPer
5;D-III Pajak;Bahasa Indonesia;B.Indo
5;D-III Pajak;Etika dan Anti Korupsi;Etika
5;D-III Pajak;Komunikasi Publik;KomLik
5;D-III Pajak;Manajemen dan Proses Bisnis Wajib Pajak;Man ProBis WP
5;D-III Pajak;Pancasila;Pancasila
5;D-III Pajak;Penelitian Ilmu Sosial;Pen IlSos
6;D-III Pajak Alih Program;Hukum Bisnis;Hk Bisnis
6;D-III Pajak Alih Program;Akuntansi Keuangan Menengah I;AKM I
6;D-III Pajak Alih Program;Manajemen;Manajemen
6;D-III Pajak Alih Program;Pajak Bumi dan Bangunan;PBB
6;D-III Pajak Alih Program;Akuntansi Biaya;AKBI
6;D-III Pajak Alih Program;Budaya Nusantara dan Pengembangan Kepribadian;Budnus PK
6;D-III Pajak Alih Program;Keuangan Publik;Keu Publik
6;D-III Pajak Alih Program;Akuntansi Keuangan Lanjutan;AKL
6;D-III Pajak Alih Program;Akuntansi Perpajakan;AkPer
6;D-III Pajak Alih Program;Komunikasi Publik;KomLik
6;D-III Pajak Alih Program;Manajemen dan Proses Bisnis Wajib Pajak;Man ProBis WP
6;D-III Pajak Alih Program;Penelitian Ilmu Sosial;Pen IlSos
9;D-III PBB/Penilai;Ekonomi Makro;Eko.Makro
9;D-III PBB/Penilai;Ekonomi Wilayah dan Perkotaan;Eko.WilKot
9;D-III PBB/Penilai;Hukum Agraria dan Properti;Hk AgrPro
